MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	113.67871	Sec	2/13/1980 2:43:54 PM
Axial Force	Axial Displacement	Time
kN	mm	Sec
0.027807891	0.00068705063	30.728516
0.011184319	0.00021677464	30.828125
0.026898175	0.00039651524	30.927734
0.022235369	0.00071184244	31.027344
0.028805967	0.00041413587	31.126953
0.022913558	0.00049465802	31.226563
0.024905356	-0.00021042302	31.326172
0.023749771	0.00043011736	31.425781
0.016949695	-0.00017026439	31.525391
0.0064764367	-8.7898225e-05	31.625
-0.010631959	-0.00042089727	31.724609
-0.0055286372	-0.0013700547	31.824219
-0.021119302	-0.0026143063	31.923828
-0.040167246	-0.0027573202	32.023438
-0.040515561	-0.0024237577	32.123047
-0.044717364	-0.0034579448	32.222656
-0.063827544	-0.0038974872	32.322266
-0.054358508	-0.005186405	32.421875
-0.059434425	-0.0045655342	32.521484
-0.067771181	-0.0045776227	32.621094
-0.071338847	-0.0061163027	32.720703
-0.076829411	-0.0048865983	32.820313
-0.084681861	-0.0061181467	32.919922
-0.091422513	-0.0063461903	33.019531
-0.10807298	-0.007626093	33.119141
-0.12030727	-0.0079701561	33.21875
-0.12445683	-0.0084105181	33.318359
-0.1412392	-0.0088254735	33.417969
-0.14326581	-0.0098666269	33.517578
-0.16078298	-0.010704119	33.617188
-0.18158273	-0.011588121	33.716797
-0.19108276	-0.012575798	33.816406
-0.20348097	-0.012694481	33.916016
-0.21412736	-0.013667406	34.015625
-0.2386587	-0.013451809	34.115234
-0.24132177	-0.015186826	34.214844
-0.25360113	-0.016163029	34.314453
-0.27679223	-0.01651201	34.414063
-0.2907868	-0.017470798	34.513672
-0.31427115	-0.018667923	34.613281
-0.33103943	-0.020569107	34.712891
-0.34554008	-0.020975048	34.8125
-0.37005195	-0.02270822	34.912109
-0.37991872	-0.023693439	35.011719
-0.39523715	-0.025182176	35.111328
-0.41165993	-0.026633777	35.210938
-0.43242383	-0.026815925	35.310547
-0.46156061	-0.027428241	35.410156
-0.4626396	-0.028568614	35.509766
-0.48095378	-0.030180439	35.609375
-0.49852833	-0.031383917	35.708984
-0.50799531	-0.031948648	35.808594
-0.53809124	-0.03402153	35.908203
-0.55373442	-0.03480785	36.007813
-0.57909656	-0.036466599	36.107422
-0.58578295	-0.038405325	36.207031
-0.62277013	-0.039415337	36.306641
-0.62636924	-0.041366719	36.40625
-0.64726049	-0.042958107	36.505859
-0.66326529	-0.043700069	36.605469
-0.67936945	-0.045435086	36.705078
-0.68789291	-0.047004346	36.804688
-0.69944286	-0.047685862	36.904297
-0.73225486	-0.048688959	37.003906
-0.75574613	-0.050031148	37.103516
-0.76325947	-0.052250374	37.203125
-0.78374887	-0.053141955	37.302734
-0.83147258	-0.055584718	37.402344
-0.86748725	-0.058172796	37.501953
-0.90956318	-0.060159214	37.601563
-0.92455786	-0.062670462	37.701172
-0.95187008	-0.063952006	37.800781
-0.95714343	-0.066357881	37.900391
-0.96902019	-0.066532299	38
-0.9757086	-0.06884516	38.099609
-1.000692	-0.070117481	38.199219
-1.0293839	-0.072107583	38.298828
-1.0523725	-0.073798753	38.398438
-1.0746261	-0.075065956	38.498047
-1.0983328	-0.076928206	38.597656
-1.1197226	-0.07940831	38.697266
-1.1458309	-0.080844954	38.796875
-1.1940123	-0.083345495	38.896484
-1.2149106	-0.086740948	38.996094
-1.2521949	-0.087282121	39.095703
-1.2821789	-0.089522034	39.195313
-1.3227857	-0.091810361	39.294922
-1.3529974	-0.094807401	39.394531
-1.3982066	-0.096385062	39.494141
-1.4051114	-0.098765947	39.59375
-1.4368024	-0.10066734	39.693359
-1.4728324	-0.1027706	39.792969
-1.4958638	-0.10495684	39.892578
-1.5327188	-0.10606012	39.992188
-1.5591959	-0.10872237	40.091797
-1.5904238	-0.11123971	40.191406
-1.6420161	-0.11300444	40.291016
-1.6841896	-0.11646382	40.390625
-1.7225126	-0.11945271	40.490234
-1.7716614	-0.12166082	40.589844
-1.821511	-0.12427574	40.689453
-1.8584683	-0.12797777	40.789063
-1.8895169	-0.12959497	40.888672
-1.921659	-0.13204531	40.988281
-1.9534699	-0.13484709	41.087891
-2.0074339	-0.13675079	41.1875
-2.0382419	-0.1387997	41.287109
-2.0842505	-0.14275619	41.386719
-2.118849	-0.14354001	41.486328
-2.1540217	-0.14710408	41.585938
-2.2003725	-0.14934891	41.685547
-2.2506409	-0.15194575	41.785156
-2.2832541	-0.1543062	41.884766
-2.3333211	-0.15763542	41.984375
-2.3755569	-0.15935595	42.083984
-2.4247642	-0.16266672	42.183594
-2.4991736	-0.1656919	42.283203
-2.5521932	-0.1688008	42.382813
-2.6064556	-0.17224646	42.482422
-2.6641865	-0.1760626	42.582031
-2.7299669	-0.17743491	42.681641
-2.7649469	-0.1823592	42.78125
-2.8246608	-0.18345164	42.880859
-2.8761971	-0.18680134	42.980469
-2.9143162	-0.19001029	43.080078
-2.9890578	-0.19213384	43.179688
-3.0260222	-0.19656779	43.279297
-3.1002374	-0.19821797	43.378906
-3.157764	-0.20199431	43.478516
-3.2129598	-0.20525756	43.578125
-3.2723982	-0.20826942	43.677734
-3.3428202	-0.21204191	43.777344
-3.4037025	-0.21449226	43.876953
-3.4653049	-0.21795799	43.976563
-3.5231318	-0.22138664	44.076172
-3.5874054	-0.22457202	44.175781
-3.6382015	-0.22826764	44.275391
-3.7114081	-0.22976683	44.375
-3.780447	-0.23432064	44.474609
-3.8748021	-0.23726897	44.574219
-3.9534717	-0.2422701	44.673828
-4.0244694	-0.24583377	44.773438
-4.0844493	-0.24834538	44.873047
-4.169908	-0.25263897	44.972656
-4.2367387	-0.25574896	45.072266
-4.3065634	-0.25884828	45.171875
-4.3586688	-0.26305869	45.271484
-4.4268489	-0.26594427	45.371094
-4.4919033	-0.26960772	45.470703
-4.5586162	-0.27309579	45.570313
-4.6805997	-0.27533653	45.669922
-4.7654662	-0.27895942	45.769531
-4.8462048	-0.28324646	45.869141
-4.939034	-0.28711012	45.96875
-5.0236235	-0.29128894	46.068359
-5.1067882	-0.29515979	46.167969
-5.1913729	-0.29951048	46.267578
-5.2871861	-0.30342394	46.367188
-5.3672605	-0.30660954	46.466797
-5.4524188	-0.31040481	46.566406
-5.5366693	-0.31397605	46.666016
-5.6145482	-0.3190161	46.765625
-5.7040129	-0.32260865	46.865234
-5.7882223	-0.32585469	46.964844
-5.8868999	-0.32987738	47.064453
-5.9744487	-0.33280337	47.164063
-6.0662384	-0.33707708	47.263672
-6.1691475	-0.3414422	47.363281
-6.3011942	-0.34680721	47.462891
-6.4331255	-0.35261557	47.5625
-6.5161915	-0.35646525	47.662109
-6.6132517	-0.3602851	47.761719
-6.7049785	-0.3642469	47.861328
-6.8056092	-0.36773539	47.960938
-6.9057589	-0.3729113	48.060547
-6.995028	-0.37558565	48.160156
-7.0889688	-0.38092574	48.259766
-7.1838112	-0.38465619	48.359375
-7.3005338	-0.38877785	48.458984
-7.4091849	-0.39334106	48.558594
-7.5208774	-0.39690086	48.658203
-7.6368241	-0.40190613	48.757813
-7.7712736	-0.40706646	48.857422
-7.8852258	-0.41204771	48.957031
-7.9895377	-0.41569811	49.056641
-8.1037064	-0.42005169	49.15625
-8.1972961	-0.42440325	49.255859
-8.3211603	-0.42859933	49.355469
-8.4243641	-0.43374225	49.455078
-8.5445271	-0.43807191	49.554688
-8.6680803	-0.44232199	49.654297
-8.8023272	-0.44723606	49.753906
-8.9385653	-0.45029727	49.853516
-9.0846062	-0.45596644	49.953125
-9.2091217	-0.46114692	50.052734
-9.3755627	-0.46569049	50.152344
-9.4990044	-0.47061518	50.251953
-9.6292896	-0.47522968	50.351563
-9.7642126	-0.47927409	50.451172
-9.8882294	-0.48532397	50.550781
-10.033632	-0.48920301	50.650391
-10.177499	-0.49397665	50.75
-10.349517	-0.49878231	50.849609
-10.49175	-0.50477874	50.949219
-10.62601	-0.50982231	51.048828
-10.758246	-0.51454538	51.148438
-10.918862	-0.51992154	51.248047
-11.074599	-0.52369952	51.347656
-11.220105	-0.52880603	51.447266
-11.369005	-0.53347969	51.546875
-11.549653	-0.53932428	51.646484
-11.723004	-0.54509634	51.746094
-11.879386	-0.55012983	51.845703
-12.02907	-0.55533344	51.945313
-12.195489	-0.56015915	52.044922
-12.34799	-0.56590927	52.144531
-12.517256	-0.5704698	52.244141
-12.667999	-0.57480443	52.34375
-12.844005	-0.58148259	52.443359
-13.022685	-0.5863241	52.542969
-13.202359	-0.59128076	52.642578
-13.390532	-0.59691942	52.742188
-13.568007	-0.60280782	52.841797
-13.749109	-0.60755509	52.941406
-13.92252	-0.61306685	53.041016
-14.13202	-0.61827254	53.140625
-14.31768	-0.6237222	53.240234
-14.510777	-0.62929243	53.339844
-14.674975	-0.63486505	53.439453
-14.858687	-0.64008713	53.539063
-15.033648	-0.64494562	53.638672
-15.229634	-0.65096194	53.738281
-15.434851	-0.65631473	53.837891
-15.676155	-0.66248816	53.9375
-15.85888	-0.66768682	54.037109
-16.048977	-0.67438143	54.136719
-16.243204	-0.6793986	54.236328
-16.450768	-0.68491465	54.335938
-16.665701	-0.69061518	54.435547
-16.879982	-0.69759983	54.535156
-17.109087	-0.70239407	54.634766
-17.342337	-0.70904332	54.734375
-17.550081	-0.71446943	54.833984
-17.78145	-0.72076565	54.933594
-18.013977	-0.72691351	55.033203
-18.228128	-0.73259008	55.132813
-18.431765	-0.73897761	55.232422
-18.653862	-0.74425232	55.332031
-18.884674	-0.74969423	55.431641
-19.119242	-0.75662738	55.53125
-19.33308	-0.76270425	55.630859
-19.542395	-0.7673077	55.730469
-19.769463	-0.77486759	55.830078
-19.995661	-0.78115439	55.929688
-20.205151	-0.7865957	56.029297
-20.41539	-0.79271626	56.128906
-20.629091	-0.79860204	56.228516
-20.839823	-0.80452228	56.328125
-21.088297	-0.81102908	56.427734
-21.315498	-0.81801707	56.527344
-21.563223	-0.82263684	56.626953
-21.811695	-0.8307249	56.726563
-22.028818	-0.83640921	56.826172
-22.295975	-0.84185994	56.925781
-22.553612	-0.84924728	57.025391
-22.810339	-0.85511971	57.125
-23.079914	-0.86097461	57.224609
-23.341343	-0.86702442	57.324219
-23.626265	-0.87386674	57.423828
-23.8993	-0.88109922	57.523438
-24.181114	-0.88785177	57.623047
-24.477369	-0.89404511	57.722656
-24.755814	-0.90147489	57.822266
-25.018295	-0.90803933	57.921875
-25.313595	-0.91417468	58.021484
-25.569548	-0.92167598	58.121094
-25.843473	-0.92849207	58.220703
-26.106834	-0.9355014	58.320313
-26.365576	-0.94163835	58.419922
-26.648188	-0.94734907	58.519531
-26.915792	-0.95325351	58.619141
-27.171499	-0.96183348	58.71875
-27.43347	-0.96860164	58.818359
-27.683086	-0.97422141	58.917969
-27.975479	-0.98145998	59.017578
-28.234856	-0.98831809	59.117188
-28.542145	-0.99464709	59.216797
-28.833158	-1.0020357	59.316406
