    MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	151.49121	Sec	2/13/1980 1:25:58 PM
Axial Force	Axial Displacement	Time
kN	mm	Sec
0.093161404	0.0012704777	49.582031
0.092519075	0.0023919484	49.681641
0.10376477	0.00045327004	49.78125
0.10515086	0.0018903241	49.880859
0.098680913	0.0020485511	49.980469
0.10831386	0.0011967169	50.080078
0.078937106	0.0028642733	50.179688
0.098548755	0.002483381	50.279297
0.084274262	0.0010360824	50.378906
0.076383911	0.0018600002	50.478516
0.087052837	0.00098547433	50.578125
0.080256857	0.0017444417	50.677734
0.089333527	0.00071435235	50.777344
0.086075507	0.001367596	50.876953
0.07859084	0.00024120789	50.976563
0.088312149	0.0012803124	51.076172
0.082979351	0.0015801191	51.175781
0.074548855	0.00050823204	51.275391
0.084908396	0.0012827711	51.375
0.09243302	0.0012532668	51.474609
0.097978905	0.0010563666	51.574219
0.10302793	0.0014253752	51.673828
0.13384712	0.0017460808	51.773438
0.17941102	0.0032722624	51.873047
0.21360092	0.0045042206	51.972656
0.25283396	0.0063613523	52.072266
0.29309556	0.0071177073	52.171875
0.33958453	0.0071353279	52.271484
0.37378263	0.010015583	52.371094
0.42121336	0.011059246	52.470703
0.46690199	0.011601029	52.570313
0.49948528	0.013529463	52.669922
0.53621125	0.014165752	52.769531
0.57205588	0.016280074	52.869141
0.60989743	0.01721284	52.96875
0.63021672	0.017822646	53.068359
0.65026557	0.018158924	53.167969
0.68925273	0.018761354	53.267578
0.71305263	0.019735508	53.367188
0.74424469	0.020814003	53.466797
0.75956208	0.02103759	53.566406
0.80214846	0.02176398	53.666016
0.82011944	0.023088958	53.765625
0.85350716	0.023789583	53.865234
0.88859785	0.023715157	53.964844
0.9080717	0.024116026	54.064453
0.92121184	0.025582174	54.164063
0.95573908	0.026237877	54.263672
0.98826116	0.027362267	54.363281
1.003763	0.028014077	54.462891
1.0544883	0.02977368	54.5625
1.1012713	0.030194167	54.662109
1.1411375	0.030825948	54.761719
1.1845075	0.033081185	54.861328
1.2365191	0.034432031	54.960938
1.294934	0.036865979	55.060547
1.3640701	0.038464744	55.160156
1.4116739	0.038385656	55.259766
1.4565204	0.041789871	55.359375
1.5221268	0.043910541	55.458984
1.5716976	0.046668477	55.558594
1.6000292	0.047501665	55.658203
1.6508532	0.049705319	55.757813
1.6770803	0.050778281	55.857422
1.7018739	0.052326389	55.957031
1.7278899	0.054467957	56.056641
1.7624273	0.055225901	56.15625
1.802036	0.056786966	56.255859
1.8257242	0.057439033	56.355469
1.8506664	0.060705353	56.455078
1.8890601	0.060722768	56.554688
1.9168457	0.062323734	56.654297
1.9521904	0.063895248	56.753906
2.0061166	0.065393768	56.853516
2.0401151	0.06726791	56.953125
2.0684047	0.067814045	57.052734
2.1013753	0.070253938	57.152344
2.1268473	0.072311707	57.251953
2.1655576	0.074695669	57.351563
2.1812992	0.076339304	57.451172
2.199132	0.079432696	57.550781
2.2055755	0.081050925	57.650391
2.2035315	0.082868665	57.75
2.205893	0.086091191	57.849609
2.2173989	0.088045232	57.949219
2.2251549	0.090208322	58.048828
2.2233057	0.092492908	58.148438
2.2238026	0.094400287	58.248047
2.2258456	0.098432384	58.347656
2.2283046	0.099749327	58.447266
2.2270646	0.10213415	58.546875
2.2289233	0.10473064	58.646484
2.2156663	0.10666255	58.746094
2.2292566	0.11014795	58.845703
2.2387314	0.11165405	58.945313
2.2368147	0.11433023	59.044922
2.2476895	0.11720864	59.144531
2.23283	0.11845336	59.244141
2.2504139	0.12045392	59.34375
2.2525747	0.12297376	59.443359
2.2537179	0.1244727	59.542969
2.245918	0.12659644	59.642578
2.2438073	0.13003097	59.742188
2.2423074	0.13173962	59.841797
2.2368762	0.13380635	59.941406
2.2461371	0.13672574	60.041016
2.2516165	0.13898087	60.140625
2.2436774	0.14115763	60.240234
2.2485142	0.14440556	60.339844
2.2518432	0.14624958	60.439453
2.2647054	0.14968725	60.539063
2.2535694	0.15056176	60.638672
2.2659986	0.15336688	60.738281
2.2644677	0.15608425	60.837891
2.2673154	0.15973192	60.9375
2.2706029	0.16165487	61.037109
2.2750025	0.16484211	61.136719
2.2719963	0.16762197	61.236328
2.2787523	0.17221203	61.335938
2.2750733	0.17569867	61.435547
2.2767727	0.17875621	61.535156
2.2776017	0.18207851	61.634766
2.2886097	0.18617658	61.734375
2.2877707	0.18925932	61.833984
2.2842841	0.19252974	61.933594
2.2818027	0.19563359	62.033203
2.2886806	0.19876939	62.132813
2.2867215	0.20211813	62.232422
2.2851815	0.20379388	62.332031
2.2945666	0.20777722	62.431641
2.2869141	0.21109112	62.53125
2.2892306	0.21393347	62.630859
2.2979016	0.2170658	62.730469
2.2878129	0.21969055	62.830078
2.3022244	0.2233206	62.929688
2.3037255	0.22602548	63.029297
2.3336613	0.22919145	63.128906
2.3560534	0.23146287	63.228516
2.3826032	0.23550834	63.328125
2.4306505	0.23737018	63.427734
2.4795001	0.24035288	63.527344
2.5460069	0.24416924	63.626953
2.6357679	0.24599174	63.726563
2.716531	0.24946135	63.826172
2.8081944	0.25297585	63.925781
2.8983443	0.25527662	64.025391
3.0133221	0.25927657	64.125
3.1292381	0.26372096	64.224609
3.2663503	0.26850489	64.324219
3.401675	0.27214521	64.423828
3.5362465	0.27736911	64.523438
3.6787667	0.28084728	64.623047
3.8350375	0.28507018	64.722656
3.9832768	0.28977013	64.822266
4.1151443	0.29381573	64.921875
4.2417407	0.2974335	65.021484
4.3761358	0.30092588	65.121094
4.4965181	0.30527228	65.220703
4.622859	0.30827284	65.320313
4.7580047	0.31258959	65.419922
4.8900094	0.31581536	65.519531
5.0186362	0.31985566	65.619141
5.13621	0.32343653	65.71875
5.263329	0.326534	65.818359
5.3877478	0.32986185	65.917969
5.5107656	0.33386424	66.017578
5.6306906	0.33675638	66.117188
5.7611833	0.34063831	66.216797
5.8876133	0.34470543	66.316406
6.0218878	0.34807938	66.416016
6.1752582	0.35150674	66.515625
6.3325667	0.35598227	66.615234
6.4911408	0.36088711	66.714844
6.6299229	0.36489812	66.814453
6.8130598	0.36986837	66.914063
6.9491978	0.37252277	67.013672
7.1364355	0.3792899	67.113281
7.3131824	0.38299024	67.212891
7.4888682	0.38694242	67.3125
7.6536489	0.39266858	67.412109
7.8298163	0.39723611	67.511719
7.9833546	0.40254483	67.611328
8.1701422	0.40677369	67.710938
